4-hydroxyphenylpyruvic acid	4-hydroxyphenylpyruvic acid 15999	4-hydroxyphenylpyruvic acid 15999	(4-hydroxyphenyl)pyruvic acid 15999
5-Dodecenoate	5-dodecenoate 83046	dodecenoate 83045	dodecenoates 83045
AMP	AMP 456215	AMP 28971	AMP 16027
Butyrate	butyrate 17968	butyrate 17968	Butylate 34594
C-X-C motif chemokine ligand 10 (CXCL10)	C-X-C motif chemokine 10 138157	C-X-C motif chemokine 8 138181	C-X-C motif chemokine 5 138180
CA	Ca 22984	Ca 22984	cat 32402
CAR10:0	CAR(DC10:0) 165625	C10:0 30813	CAR(DC21:0) 165610
CAR16:0	C16:0 15756	CAR 16:5 228520	CAR 16:2 228644
CAR18:0	CAR(DC18:0) 165607	C18:0 28842	CAR(21:0) 165600
CAR18:1	CAR(18:1(11E)) 165598	ACar 18:1 176697	CAR 18:2;O 192099
CAR18:2	CAR 18:2;O 192099	CAR 18:2;O 192098	C18:2 61159
CAR6:0	CAR(26:0) 165602	C6:0 30776	CAR 6:2 228449
CAR8:0	CAR(DC8:0) 165630	C8:0 28837	CAR(DC18:0) 165607
CARDC5:0	CAR(DC5:0) 165628	CAR(DC15:0) 165606	CAR(DC9:0) 165631
CCL5	CCL 3478	CXCL5 138180	CCl4 27385
CO	Co 27638	Co 27638	CO 17245
CXCL10	CXCL10 138157	CXCL9 138154	CXCL7 138155
DHA	DHA 36005	DHA 28689	DHA 28125
DPP4	DPP 60069	DPP 34680	dp4 132213
DPP4 inhibitors	DPP-4 inhibitors 68612	DPP-4 inhibitor 68612	pp42 inhibitors 79091
Dipeptidyl peptidase 4 (DPP4)	dipeptidyl peptidase IV inhibitor 68612	dipeptidyl peptidase II inhibitor 76893	dipeptidyl peptidase IV inhibitors 68612
F6P	FPP 73644	FAP 73617	F 29997
FAC19:1	FA 19:1 233757	FA(19:1) 233757	FA1 233624
Fumarate	fumarate 29806	fumarate 24123	FUMARATE 29806
G6P	gtp 37565	Glp 16010	GTP 37565
GMP	GMP 58115	GMP 58115	GMP 17345
Gly-pro	Gly-Pro 70744	Gly-L-Pro 70744	Glu-Pro 73508
ICAM-1	ICA 29202	CAI-1 80629	icas#1 79051
IFNγ	IF 74075	In 30430	IN 74063
IL-12	IL 74072	IL 63895	Ile- 32606
IL-12p40	ML-240 143014	I1P 18297	LSM-13240 101879
IL-15	i-15:0 39250	IL 74072	IL 63895
IL-1RA	L-R 73528	Ile-Arg 74061	L-Rha 62346
IL-1β	IL 74072	IL 63895	Ile- 32606
